avif_file,yuv_file,status,avif_size,yuv_size,error
D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3604492,414720000,
D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1030476,414720000,
D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1916922,414720000,
D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_High\KristenAndSara_720p_60_High_hidden_test.yuv,OK,3602383,414720000,
D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Low\KristenAndSara_720p_60_Low_hidden_test.yuv,OK,1003968,414720000,
D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\ori_video\KristenAndSara_720p_60_Middle\KristenAndSara_720p_60_Middle_hidden_test.yuv,OK,1962671,414720000,
D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4169944,466560000,
D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,767905,466560000,
D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2927537,466560000,
D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6545603,933120000,
D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1278110,933120000,
D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4425128,933120000,
D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3637018,414720000,
D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1006027,414720000,
D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1926541,414720000,
D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4180134,466560000,
D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,781452,466560000,
D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\1024\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2930693,466560000,
D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6557811,933120000,
D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,OK,1263952,933120000,
D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,OK,4420172,933120000,
D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,OK,3629543,414720000,
D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,OK,1016193,414720000,
D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\Johnny_720p_60_Middle\Johnny_720p_60_Middle_hidden_test.yuv,OK,1917019,414720000,
D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_High\speed_bag_1080p_30_High_hidden_test.yuv,OK,4172434,466560000,
D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,OK,775374,466560000,
D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\256\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,OK,2928208,466560000,
D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.avif,D:\碩士實驗\testdata\StegAV1\512\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,OK,6547422,933120000,
