experiment,video,quality,bitrate,fps,width,height,source_file,clean_file,steg_file,source_frames,clean_frames,steg_frames,SC_Frames,SC_Y_PSNR,SC_U_PSNR,SC_V_PSNR,SC_YUV_PSNR,SS_Frames,SS_Y_PSNR,SS_U_PSNR,SS_V_PSNR,SS_YUV_PSNR,CS_Frames,CS_Y_MSE,CS_Y_PSNR,CS_U_MSE,CS_U_PSNR,CS_V_MSE,CS_V_PSNR,CS_YUV_MSE,CS_YUV_PSNR,CS_Y_Different_Pixels,CS_U_Different_Pixels,CS_V_Different_Pixels,CS_Y_Max_Abs_Diff,CS_U_Max_Abs_Diff,CS_V_Max_Abs_Diff,CS_Worst_Frame,CS_Worst_Frame_Y_MSE,CS_Worst_Frame_Y_PSNR,CS_Worst_Frame_Y_Different_Pixels,CS_Worst_Frame_Y_Max_Diff,status
angle_test,SpeedBag,Low,1200,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\speed_bag_1080p_30_Low\speed_bag_1080p_30_Low_hidden_test.yuv,570,150,150,150,42.59764664157396,49.22371838864311,47.105534264088064,43.7784424251402,150,42.60572352572587,49.231565462116286,47.127237298717084,43.78756248065801,150,1.3273625932355968,46.900907863597425,0.3026286908436214,53.32170261753127,0.45214439300411524,51.57803211298286,1.0107039094650205,48.08456415286053,138044736,18592701,23802874,58,11,18,78,3.006386477623457,43.3503555151311,1146620,36,OK
angle_test,SpeedBag,Middle,5000,30,1920,1080,D:\碩士實驗\testdata\speed_bag_1080p.yuv,D:\碩士實驗\testdata\ori_video\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\center\speed_bag_1080p_30_Middle\speed_bag_1080p_30_Middle_hidden_test.yuv,570,150,150,150,44.34407281806723,50.27108516977143,48.33068749201645,45.44659198770213,150,44.3405963009078,50.27541328668124,48.327900177383185,45.44360253942264,150,0.901714654063786,48.580112332719224,0.2335525462962963,54.44695754341936,0.3422341692386831,52.78756992801972,0.6971075552983539,49.69780571193226,115969145,16296085,20993886,29,10,17,78,1.6536434220679013,45.94638493210888,951848,22,OK
angle_test,Fallout4,High,8000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\Fallout4_1080p_60_High\Fallout4_1080p_60_High_hidden_test.yuv,3602,300,300,300,38.50189898828167,44.064263849056644,42.54626721431325,39.58849400126619,300,38.46596503633151,44.03068133522147,42.51380255568475,39.5529923734222,300,6.279869466949589,40.151297442601205,1.309479944701646,46.959815094790194,1.962578677983539,45.20253284633205,4.731922748413923,41.380427149820534,405421665,75793408,80469619,170,52,64,24,17.834730420524693,35.61813811688261,1525256,170,OK
angle_test,Fallout4,Low,1200,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\Fallout4_1080p_60_Low\Fallout4_1080p_60_Low_hidden_test.yuv,3602,300,300,300,33.60708874092834,40.085382323572496,38.21696773653788,34.78854331780895,300,33.52794233791456,40.05972014942225,38.18999544696808,34.715943477984766,300,16.169233045588992,36.04390940341103,2.9376686085390946,43.45077558385843,4.352941718106996,41.74297508475956,11.994590418167009,37.34094938257013,478099523,97600732,100852945,197,76,121,24,36.649514371141976,32.49012136524614,1693817,150,OK
angle_test,Fallout4,Middle,5000,60,1920,1080,D:\碩士實驗\testdata\Fallout4_1080p.yuv,D:\碩士實驗\testdata\ori_video\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\Fallout4_1080p_60_Middle\Fallout4_1080p_60_Middle_hidden_test.yuv,3602,300,300,300,37.20771144919043,43.1285430608687,41.546076572541004,38.338973210744804,300,37.170538925754855,43.11384886224473,41.52015877072347,38.30393670869149,300,7.993157839827675,39.10361971857827,1.5643239390432098,46.18753669451327,2.322110853909465,44.47197412436924,5.976511025377229,40.36632635846913,421716923,80629212,85494453,159,55,76,24,21.8913175154321,34.72808460768083,1556708,117,OK
angle_test,FourPeople,High,5000,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\FourPeople_720p_60_High\FourPeople_720p_60_High_hidden_test.yuv,601,300,300,300,43.20686351286778,47.28335048742923,48.622195793087556,44.28726888384596,300,43.1709492367131,47.27929243439427,48.61649089202311,44.255859808348106,300,1.8148286168981482,45.54244742101698,0.5697546440972222,50.57392487046077,0.4366056423611111,51.72991016965103,1.3776124590084877,46.73953299018662,152123964,25535803,21373714,52,28,19,118,2.1271473524305557,44.85282785337106,519166,15,OK
angle_test,FourPeople,Low,1200,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\FourPeople_720p_60_Low\FourPeople_720p_60_Low_hidden_test.yuv,601,300,300,300,40.7374811000065,45.423822140118624,46.69022844591929,41.89722728780288,300,40.62384899050411,45.412374943341156,46.65940447327169,41.795618559437244,300,3.1955570421006945,43.08533786566355,0.8225263165509259,48.97930558865945,0.6744204282407408,49.84149644242532,2.3798624855324073,44.365284977189035,163116670,27932065,25395978,88,21,19,258,3.9502549913194445,42.164552303683664,550247,38,OK
angle_test,FourPeople,Middle,2500,60,1280,720,D:\碩士實驗\testdata\FourPeople_720p_60.yuv,D:\碩士實驗\testdata\ori_video\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\FourPeople_720p_60_Middle\FourPeople_720p_60_Middle_hidden_test.yuv,601,300,300,300,42.25673275569677,46.7301357041856,48.03575796861084,43.39061002938002,300,42.19773324188302,46.701814354860645,48.010287210847686,43.335884330444784,300,2.1104878074363427,44.88697513346169,0.6152905381944445,50.24000124215664,0.48510737847222224,51.272424805823924,1.5903915244020062,46.11576308273455,154318309,25147804,21749072,71,24,31,294,2.5598741319444445,44.0486174912866,535091,23,OK
angle_test,Johnny,High,5000,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\Johnny_720p_60_High\Johnny_720p_60_High_hidden_test.yuv,601,300,300,300,43.610530948537665,48.54231180197124,49.126748945552066,44.76255647134578,300,43.59735641603058,48.53547286569638,49.11901278124635,44.750155536981936,300,1.5040693829571758,46.35812490077435,0.3926786603009259,52.19043060222322,0.3614748842592593,52.550022335293164,1.1284051793981482,47.606152899612624,129334915,19113305,18069169,32,28,21,263,1.7440679253472222,45.715169656905026,444758,14,OK
angle_test,Johnny,Low,1200,60,1280,720,D:\碩士實驗\testdata\Johnny_720p_60.yuv,D:\碩士實驗\testdata\ori_video\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,D:\碩士實驗\testdata\angle_test\rdo_cho\Johnny_720p_60_Low\Johnny_720p_60_Low_hidden_test.yuv,601,300,300,300,42.031482608534944,47.54284943884271,48.11379316898342,43.25433918611668,300,41.98505363516694,47.529722681143184,48.09292820562928,43.211358864636765,300,1.9424819733796297,45.24723363715721,0.4840601851851852,51.28180998254856,0.45085065104166666,51.59047659722337,1.4508064549575617,46.5147088168338,122550736,18388852,17821116,67,35,37,26,2.5732074652777777,44.02605558181457,396373,29,OK
