path,embedded_bits,extracted_bits,different_bits,ber,exact_match,first_mismatch
coeff_test\bits_count_1\Fallout4_1080p_60_High,82525,82525,0,0.00000000,YES,
coeff_test\bits_count_1\Johnny_720p_60_High,29148,29148,0,0.00000000,YES,
coeff_test\bits_count_2\Fallout4_1080p_60_High,154932,154932,0,0.00000000,YES,
coeff_test\bits_count_2\Johnny_720p_60_High,56013,56013,0,0.00000000,YES,
coeff_test\bits_count_4\Fallout4_1080p_60_High,272085,272085,0,0.00000000,YES,
coeff_test\bits_count_4\Johnny_720p_60_High,100129,100129,0,0.00000000,YES,
coeff_test\bits_count_8\Fallout4_1080p_60_High,417817,417817,0,0.00000000,YES,
coeff_test\bits_count_8\Johnny_720p_60_High,162668,162668,0,0.00000000,YES,
coeff_test\br_range_LR_all\Fallout4_1080p_60_High,91910,91910,0,0.00000000,YES,
coeff_test\br_range_LR_all\Johnny_720p_60_High,46026,46026,0,0.00000000,YES,
coeff_test\br_range_LR_half\Fallout4_1080p_60_High,86290,86290,0,0.00000000,YES,
coeff_test\br_range_LR_half\Johnny_720p_60_High,42340,42340,0,0.00000000,YES,
coeff_test\eob_16\Fallout4_1080p_60_High,351758,351758,0,0.00000000,YES,
coeff_test\eob_16\Johnny_720p_60_High,243066,243066,0,0.00000000,YES,
coeff_test\eob_32\Fallout4_1080p_60_High,248841,248841,0,0.00000000,YES,
coeff_test\eob_32\Johnny_720p_60_High,192535,192535,0,0.00000000,YES,
coeff_test\eob_8\Fallout4_1080p_60_High,557682,557682,0,0.00000000,YES,
coeff_test\eob_8\Johnny_720p_60_High,287322,287322,0,0.00000000,YES,
coeff_test\nonzero_ratio_10\Fallout4_1080p_60_High,606858,606858,0,0.00000000,YES,
coeff_test\nonzero_ratio_10\Johnny_720p_60_High,309132,309132,0,0.00000000,YES,
coeff_test\nonzero_ratio_25\Fallout4_1080p_60_High,540691,540691,0,0.00000000,YES,
coeff_test\nonzero_ratio_25\Johnny_720p_60_High,290786,290786,0,0.00000000,YES,
coeff_test\nonzero_ratio_50\Fallout4_1080p_60_High,242331,242331,0,0.00000000,YES,
coeff_test\nonzero_ratio_50\Johnny_720p_60_High,119792,119792,0,0.00000000,YES,
coeff_test\scan_pos_3eob4\Fallout4_1080p_60_High,158532,158532,0,0.00000000,YES,
coeff_test\scan_pos_3eob4\Johnny_720p_60_High,69947,69947,0,0.00000000,YES,
coeff_test\scan_pos_eob2\Fallout4_1080p_60_High,284498,284498,0,0.00000000,YES,
coeff_test\scan_pos_eob2\Johnny_720p_60_High,134407,134407,0,0.00000000,YES,
coeff_test\scan_pos_eob4\Fallout4_1080p_60_High,460804,460804,0,0.00000000,YES,
coeff_test\scan_pos_eob4\Johnny_720p_60_High,227463,227463,0,0.00000000,YES,
coeff_test\transform_type_all\Fallout4_1080p_60_High,604315,604315,0,0.00000000,YES,
coeff_test\transform_type_all\Johnny_720p_60_High,313422,313422,0,0.00000000,YES,
coeff_test\transform_type_dct\Fallout4_1080p_60_High,92272,92272,0,0.00000000,YES,
coeff_test\transform_type_dct\Johnny_720p_60_High,59702,59702,0,0.00000000,YES,
coeff_test\transform_type_double_adst\Fallout4_1080p_60_High,121824,121824,0,0.00000000,YES,
coeff_test\transform_type_double_adst\Johnny_720p_60_High,60199,60199,0,0.00000000,YES,
coeff_test\transform_type_mix\Fallout4_1080p_60_High,228400,228400,0,0.00000000,YES,
coeff_test\transform_type_mix\Johnny_720p_60_High,152087,152087,0,0.00000000,YES,
coeff_test\transform_type_other\Fallout4_1080p_60_High,165099,165099,0,0.00000000,YES,
coeff_test\transform_type_other\Johnny_720p_60_High,43723,43723,0,0.00000000,YES,
hidden_bit_test\0\Fallout4_1080p_60_High,47534,47534,0,0.00000000,YES,
hidden_bit_test\0\Johnny_720p_60_High,18070,18070,0,0.00000000,YES,
hidden_bit_test\0_1\Fallout4_1080p_60_High,53089,53089,0,0.00000000,YES,
hidden_bit_test\0_1\Johnny_720p_60_High,19796,19796,0,0.00000000,YES,
hidden_bit_test\1\Fallout4_1080p_60_High,52686,52686,0,0.00000000,YES,
hidden_bit_test\1\Johnny_720p_60_High,18879,18879,0,0.00000000,YES,
lag_frame_test\Fallout4_1080p_60_High,100273,67141,53203,0.53058151,NO,27191
lag_frame_test\Johnny_720p_60_High,35233,23134,21937,0.62262651,NO,3551
ori_video\Fallout4_1080p_60_High,0,0,0,0.00000000,YES,
ori_video\Fallout4_1080p_60_Low,0,0,0,0.00000000,YES,
ori_video\Fallout4_1080p_60_Middle,0,0,0,0.00000000,YES,
ori_video\FourPeople_720p_60_High,0,0,0,0.00000000,YES,
ori_video\FourPeople_720p_60_Low,0,0,0,0.00000000,YES,
ori_video\FourPeople_720p_60_Middle,0,0,0,0.00000000,YES,
ori_video\Johnny_720p_60_High,0,0,0,0.00000000,YES,
ori_video\Johnny_720p_60_Low,0,0,0,0.00000000,YES,
ori_video\Johnny_720p_60_Middle,0,0,0,0.00000000,YES,
