Using AOMedia Project AV1 Decoder v3.11.0
[ANGLE_READ] sym 2, injected 0, total_bits 98, payload_bits 98, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 99, payload_bits 99, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 100, payload_bits 100, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 101, payload_bits 101, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 102, payload_bits 102, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 103, payload_bits 103, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 104, payload_bits 104, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 105, payload_bits 105, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 106, payload_bits 106, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 107, payload_bits 107, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 108, payload_bits 108, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 109, payload_bits 109, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 110, payload_bits 110, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 111, payload_bits 111, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 112, payload_bits 112, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 113, payload_bits 113, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 114, payload_bits 114, keyword_buffer 440044, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 115, payload_bits 115, keyword_buffer 880088, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 116, payload_bits 116, keyword_buffer 100110, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 117, payload_bits 117, keyword_buffer 200220, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 118, payload_bits 118, keyword_buffer 400440, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 119, payload_bits 119, keyword_buffer 800880, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 120, payload_bits 120, keyword_buffer 001100, end_found 0
[ANGLE_READ] sym 4, injected 0, total_bits 121, payload_bits 121, keyword_buffer 002200, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 122, payload_bits 122, keyword_buffer 004400, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 123, payload_bits 123, keyword_buffer 008800, end_found 0
[ANGLE_READ] sym 5, injected 1, total_bits 124, payload_bits 124, keyword_buffer 011001, end_found 0
[ANGLE_READ] sym 0, injected 0, total_bits 125, payload_bits 125, keyword_buffer 022002, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 126, payload_bits 126, keyword_buffer 044004, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 127, payload_bits 127, keyword_buffer 088008, end_found 0
[ANGLE_READ] sym 3, injected 1, total_bits 128, payload_bits 128, keyword_buffer 110011, end_found 0
[ANGLE_READ] sym 6, injected 0, total_bits 129, payload_bits 129, keyword_buffer 220022, end_found 0
[ANGLE_READ] sym 2, injected 0, total_bits 130, payload_bits 130, keyword_buffer 440044, end_found 0
