Using AOMedia Project AV1 Encoder v3.11.0
[HIDE] rd_plus:     98, rd_minus:    156, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 93 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1952, rd_minus:   2028, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 94 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   5288, rd_minus:   5880, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 95 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    760, rd_minus:    688, [ANGLE_HIDE] embedded 1, written_angle 1, bit_index 96 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2720, rd_minus:   1548, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 97 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3008, rd_minus:   2842, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 98 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   4964, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 99 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   2600, rd_minus:   1666, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 100 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:    368, rd_minus:     -1, [ANGLE_HIDE] embedded 0, written_angle 0, bit_index 101 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3076, rd_minus:   3014, [ANGLE_HIDE] embedded 0, written_angle 2, bit_index 102 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:   1806, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 103 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   8832, rd_minus:   8832, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 104 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   6556, rd_minus:   5278, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 105 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4080, rd_minus:   9542, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 106 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4710, rd_minus:   4582, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 107 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4512, rd_minus:   5660, [ANGLE_HIDE] embedded 1, written_angle 5, bit_index 108 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   3584, rd_minus:   7222, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 109 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1198, rd_minus:   1676, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 110 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:  16766, rd_minus:  16766, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 111 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4096, rd_minus:   9176, [ANGLE_HIDE] embedded 1, written_angle 3, bit_index 112 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:     -1, rd_minus:    998, [ANGLE_HIDE] embedded 0, written_angle 6, bit_index 113 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4234, rd_minus:   6024, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 114 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   4274, rd_minus:  10904, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 115 / 8216, payload_bits 8192, end_bits 24
[HIDE] rd_plus:   1752, rd_minus:   1240, [ANGLE_HIDE] embedded 0, written_angle 4, bit_index 116 / 8216, payload_bits 8192, end_bits 24
